Comment,Designator,Footprint,LCSC,Quantity
0.1uF,"C13,C15,C3,C4,C5,C7,C8",C_0603_1608Metric,C125205,7
10K,"R1,R2",R_0603_1608Metric,C15401,2
10uF,"C10,C12,C14,C9",C_0603_1608Metric,C19702,4
1uF,C11,C_0603_1608Metric,C15849,1
220,R5,R_0603_1608Metric,C23179,1
4.7k,"R10,R9",R_0603_1608Metric,C15401,2
47uF,C6,C_0603_1608Metric,C140782,1
5.1k,"R6,R7",R_0603_1608Metric,C23186,2
74AHCT1G125SE-7,U7,SOT-353_L2.2-W1.4-P0.65-LS2.4-BR,C151417,1
AP2112K-3.3TRG1,U5,SOT-25-5_L2.9-W1.6-P0.95-LS2.8-BL,C51118,1
AP2120N-1.8TRG1,U4,SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,C460317,1
BME688_C3664478,U6,LGA-8_L3.0-W3.0-P0.80_BME688,C3664478,1
ENS210,U1,AMS_QFN-4-1EP_2x2mm_P0.95mm_EP0.7x1.6mm,C2991202,1
ESP32-C6-MINI-1,U3,ESP32-C6-MINI-1,C5736265,1
SW_Push,"Boot1,Reset1",SW_SPST_PTS647_Sx38,C720477,2
USB_C_Receptacle_USB2.0_14P,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C5143397,1
SK6812MINI,D1,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,,1
SK6812MINI,D2,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,,1
