Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
Boot1,SW_Push,SW_SPST_PTS647_Sx38,105.842,-92.371,90.0,top
C10,10uF,C_0603_1608Metric,125.984,-71.615,90.0,top
C11,1uF,C_0603_1608Metric,124.206,-71.615,90.0,top
C12,10uF,C_0603_1608Metric,122.428,-71.615,90.0,top
C13,0.1uF,C_0603_1608Metric,130.6,-58.02,0.0,top
C14,10uF,C_0603_1608Metric,130.625,-59.78,0.0,top
C15,0.1uF,C_0603_1608Metric,128.4,-63.875,90.0,top
C3,0.1uF,C_0603_1608Metric,100.53,-87.27,180.0,top
C4,0.1uF,C_0603_1608Metric,126.492,-94.729,90.0,top
C5,0.1uF,C_0603_1608Metric,95.758,-86.246,-90.0,top
C6,47uF,C_0603_1608Metric,97.409,-86.2454,-90.0,top
C7,0.1uF,C_0603_1608Metric,108.712,-62.484,90.0,top
C8,0.1uF,C_0603_1608Metric,110.49,-62.471,90.0,top
C9,10uF,C_0603_1608Metric,119.634,-71.869,90.0,top
D1,SK6812MINI,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,110.518,-66.181,0.0,top
D2,SK6812MINI,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,104.168,-66.181,0.0,top
H3,MountingHole,MountingHole_2.2mm_M2,128.8542,-78.2828,0.0,top
H4,MountingHole,MountingHole_2.2mm_M2,98.0186,-62.23,0.0,top
J1,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,118.49,-59.845,0.0,top
R1,10K,R_0603_1608Metric,108.395,-87.63,180.0,top
R10,4.7k,R_0603_1608Metric,122.45,-83.125,90.0,top
R2,10K,R_0603_1608Metric,100.54,-85.58,0.0,top
R5,220,R_0603_1608Metric,113.7,-70.075,90.0,top
R6,5.1k,R_0603_1608Metric,119.68,-65.475,-90.0,top
R7,5.1k,R_0603_1608Metric,116.72,-65.36,-90.0,top
R9,4.7k,R_0603_1608Metric,120.61,-80.46,-90.0,top
Reset1,SW_Push,SW_SPST_PTS647_Sx38,99.7,-92.225,90.0,top
U1,ENS210,AMS_QFN-4-1EP_2x2mm_P0.95mm_EP0.7x1.6mm,129.098,-94.521,90.0,top
U3,ESP32-C6-MINI-1,ESP32-C6-MINI-1,99.9,-77.4,90.0,top
U4,AP2120N-1.8TRG1,SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,128.778,-72.002,0.0,top
U5,AP2112K-3.3TRG1,SOT-25-5_L2.9-W1.6-P0.95-LS2.8-BL,122.398,-74.996,-90.0,top
U6,BME688_C3664478,LGA-8_L3.0-W3.0-P0.80_BME688,131.27,-62.73,0.0,top
U7,74AHCT1G125SE-7,SOT-353_L2.2-W1.4-P0.65-LS2.4-BR,111.0,-70.46,0.0,top
